# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.18
8                       0.17
16                      0.19
32                      0.19
64                      0.19
128                     0.22
256                     0.24
512                     0.34
1024                    0.38
2048                    0.46
4096                    1.01
8192                    1.34
16384                   1.96
32768                   2.69
65536                   4.31
131072                  7.65
262144                 15.02
524288                 29.60
1048576                58.24
