# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.19
4                       0.18
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.21
256                     0.22
512                     0.31
1024                    0.39
2048                    0.45
4096                    0.98
8192                    1.15
16384                   1.55
32768                   2.31
65536                   3.88
131072                  7.39
262144                 14.93
524288                 29.95
1048576                58.35
2097152               121.11
4194304               367.21
