# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.25
512                     0.33
1024                    0.40
2048                    0.48
4096                    1.09
8192                    1.26
16384                   1.69
32768                   2.46
65536                   3.93
131072                  7.69
262144                 15.46
524288                 30.48
1048576                59.81
2097152               128.88
4194304               422.05
