# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.29
1024                    0.35
2048                    0.44
4096                    1.00
8192                    1.17
16384                   1.58
32768                   2.25
65536                   3.67
131072                  7.12
262144                 14.83
524288                 29.52
1048576                58.09
2097152               117.66
4194304               373.31
