# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.16
8                       0.16
16                      0.18
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.31
1024                    0.37
2048                    0.45
4096                    1.06
8192                    1.27
16384                   1.72
32768                   2.45
65536                   4.13
131072                  7.64
262144                 15.31
524288                 32.42
1048576                58.94
2097152               120.85
4194304               370.04
