# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.20
32                      0.21
64                      0.20
128                     0.22
256                     0.25
512                     0.33
1024                    0.40
2048                    0.48
4096                    1.10
8192                    1.31
16384                   1.91
32768                   2.53
65536                   4.02
131072                  7.96
262144                 15.88
524288                 31.99
1048576                63.45
2097152               128.82
4194304               408.20
