# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.20
4                       0.20
8                       0.19
16                      0.21
32                      0.21
64                      0.21
128                     0.23
256                     0.25
512                     0.39
1024                    0.45
2048                    0.54
4096                    1.38
8192                    1.56
16384                   2.03
32768                   3.05
65536                   5.22
131072                  9.81
262144                 18.88
524288                 36.36
1048576                65.45
2097152               120.78
4194304               374.55
