# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.20
2                       0.19
4                       0.20
8                       0.19
16                      0.22
32                      0.21
64                      0.21
128                     0.24
256                     0.27
512                     0.39
1024                    0.47
2048                    0.57
4096                    1.41
8192                    1.61
16384                   2.25
32768                   3.14
65536                   5.34
131072                  9.94
262144                 19.51
524288                 37.68
1048576                73.68
2097152               132.57
4194304               411.36
