# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.19
8                       0.17
16                      0.20
32                      0.20
64                      0.19
128                     0.21
256                     0.23
512                     0.33
1024                    0.39
2048                    0.46
4096                    1.07
8192                    1.28
16384                   1.73
32768                   2.55
65536                   4.12
131072                  7.86
262144                 15.69
524288                 30.99
1048576                58.48
2097152               119.34
4194304               378.02
