# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.31
1024                    0.38
2048                    0.47
4096                    1.01
8192                    1.21
16384                   1.67
32768                   2.37
65536                   3.91
131072                  7.36
262144                 15.28
524288                 31.32
1048576                64.28
2097152               131.15
4194304               424.89
