# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.20
4                       0.19
8                       0.19
16                      0.22
32                      0.22
64                      0.21
128                     0.23
256                     0.26
512                     0.37
1024                    0.43
2048                    0.52
4096                    1.31
8192                    1.56
16384                   2.08
32768                   3.02
65536                   4.41
131072                  9.33
262144                 18.06
524288                 35.21
1048576                68.57
2097152               128.94
4194304               364.52
