# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.20
32                      0.20
64                      0.20
128                     0.22
256                     0.24
512                     0.34
1024                    0.40
2048                    0.50
4096                    1.06
8192                    1.25
16384                   1.65
32768                   2.34
65536                   3.91
131072                  7.43
262144                 15.96
524288                 30.67
1048576                60.48
2097152               124.36
4194304               384.65
