# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.16
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.30
1024                    0.36
2048                    0.44
4096                    1.02
8192                    1.22
16384                   1.68
32768                   2.46
65536                   3.86
131072                  7.51
262144                 15.17
524288                 30.50
1048576                60.03
2097152               129.48
4194304               438.61
