# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.20
64                      0.18
128                     0.20
256                     0.22
512                     0.32
1024                    0.37
2048                    0.47
4096                    1.03
8192                    1.24
16384                   1.65
32768                   2.33
65536                   3.90
131072                  7.43
262144                 14.83
524288                 30.26
1048576                58.88
2097152               124.48
4194304               394.33
