# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.32
1024                    0.39
2048                    0.48
4096                    1.06
8192                    1.26
16384                   1.73
32768                   2.41
65536                   3.96
131072                  7.49
262144                 15.25
524288                 30.36
1048576                60.01
2097152               129.22
4194304               411.32
