# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.21
64                      0.20
128                     0.20
256                     0.23
512                     0.31
1024                    0.37
2048                    0.45
4096                    0.97
8192                    1.14
16384                   1.55
32768                   2.20
65536                   3.58
131072                  6.72
262144                 13.92
524288                 27.74
1048576                57.14
2097152               120.11
4194304               385.31
