# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.18
8                       0.18
16                      0.21
32                      0.21
64                      0.19
128                     0.22
256                     0.24
512                     0.33
1024                    0.40
2048                    0.50
4096                    1.14
8192                    1.34
16384                   1.75
32768                   2.52
65536                   4.10
131072                  7.56
262144                 15.77
524288                 31.01
1048576                58.39
2097152               121.13
4194304               353.26
