# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.33
1024                    0.38
2048                    0.48
4096                    1.08
8192                    1.26
16384                   1.72
32768                   2.40
65536                   3.93
131072                  7.33
262144                 15.05
524288                 28.13
1048576                53.95
2097152               114.40
4194304               387.81
