# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.30
1024                    0.37
2048                    0.45
4096                    1.01
8192                    1.22
16384                   1.63
32768                   2.37
65536                   3.86
131072                  7.35
262144                 15.39
524288                 29.88
1048576                58.14
2097152               121.14
4194304               374.73
