# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.18
4                       0.17
8                       0.17
16                      0.20
32                      0.21
64                      0.19
128                     0.21
256                     0.23
512                     0.32
1024                    0.38
2048                    0.47
4096                    1.05
8192                    1.27
16384                   1.68
32768                   2.39
65536                   4.13
131072                  7.43
262144                 15.21
524288                 29.97
1048576                59.00
2097152               126.96
4194304               411.99
