# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.18
4                       0.17
8                       0.16
16                      0.18
32                      0.20
64                      0.18
128                     0.19
256                     0.21
512                     0.32
1024                    0.36
2048                    0.44
4096                    0.99
8192                    1.16
16384                   1.78
32768                   2.29
65536                   3.62
131072                  7.12
262144                 13.88
524288                 27.43
1048576                53.83
2097152               106.66
4194304               304.04
