# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.20
2                       0.20
4                       0.19
8                       0.19
16                      0.21
32                      0.22
64                      0.22
128                     0.24
256                     0.26
512                     0.36
1024                    0.42
2048                    0.50
4096                    1.31
8192                    1.54
16384                   2.04
32768                   3.02
65536                   4.92
131072                  9.18
262144                 17.73
524288                 33.43
1048576                54.46
2097152               118.50
4194304               377.88
