# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.18
4                       0.18
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.30
1024                    0.36
2048                    0.43
4096                    0.99
8192                    1.15
16384                   1.59
32768                   2.21
65536                   4.42
131072                  7.48
262144                 14.38
524288                 27.63
1048576                54.34
2097152               109.11
4194304               314.56
