# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.30
1024                    0.36
2048                    0.44
4096                    1.00
8192                    1.17
16384                   1.60
32768                   2.25
65536                   3.60
131072                  6.83
262144                 13.80
524288                 28.35
1048576                57.65
2097152               119.13
4194304               374.12
