# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.20
2                       0.19
4                       0.21
8                       0.17
16                      0.21
32                      0.19
64                      0.18
128                     0.20
256                     0.23
512                     0.31
1024                    0.38
2048                    0.45
4096                    0.99
8192                    1.18
16384                   1.55
32768                   2.21
65536                   3.67
131072                  7.14
262144                 15.84
524288                 31.68
1048576                56.03
2097152               116.41
4194304               357.09
