# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.20
4                       0.19
8                       0.19
16                      0.21
32                      0.20
64                      0.18
128                     0.23
256                     0.23
512                     0.31
1024                    0.37
2048                    0.44
4096                    1.01
8192                    1.18
16384                   1.57
32768                   2.28
65536                   3.70
131072                  6.80
262144                 15.28
524288                 29.84
1048576                57.83
2097152               120.06
4194304               373.93
