# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.20
2                       0.19
4                       0.19
8                       0.18
16                      0.22
32                      0.22
64                      0.21
128                     0.23
256                     0.26
512                     0.37
1024                    0.43
2048                    0.54
4096                    1.35
8192                    1.58
16384                   2.10
32768                   3.08
65536                   4.99
131072                  9.44
262144                 18.39
524288                 36.33
1048576                60.59
2097152               119.69
4194304               379.39
