# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.20
4                       0.20
8                       0.19
16                      0.21
32                      0.21
64                      0.21
128                     0.23
256                     0.23
512                     0.31
1024                    0.37
2048                    0.44
4096                    1.00
8192                    1.17
16384                   1.57
32768                   2.29
65536                   3.58
131072                  6.76
262144                 14.05
524288                 28.94
1048576                64.60
2097152               151.02
4194304               427.67
