# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.17
4                       0.18
8                       0.18
16                      0.20
32                      0.20
64                      0.19
128                     0.21
256                     0.23
512                     0.34
1024                    0.40
2048                    0.48
4096                    1.10
8192                    1.29
16384                   1.74
32768                   2.48
65536                   4.08
131072                  7.78
262144                 15.58
524288                 31.26
1048576                59.07
2097152               127.24
4194304               368.47
