# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.19
4                       0.18
8                       0.18
16                      0.20
32                      0.19
64                      0.19
128                     0.20
256                     0.23
512                     0.32
1024                    0.39
2048                    0.47
4096                    1.12
8192                    1.33
16384                   1.66
32768                   2.49
65536                   4.03
131072                  7.64
262144                 15.55
524288                 30.79
1048576                60.27
2097152               135.00
4194304               427.86
