# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.20
32                      0.19
64                      0.18
128                     0.21
256                     0.22
512                     0.32
1024                    0.38
2048                    0.45
4096                    1.02
8192                    1.26
16384                   1.72
32768                   2.54
65536                   4.02
131072                  7.55
262144                 15.13
524288                 33.19
1048576                70.11
2097152               141.26
4194304               383.18
