# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.30
1024                    0.36
2048                    0.44
4096                    1.04
8192                    1.24
16384                   1.71
32768                   2.43
65536                   4.01
131072                  7.61
262144                 15.09
524288                 30.45
1048576                58.38
2097152               121.54
4194304               377.62
