# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.17
4                       0.19
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.31
1024                    0.37
2048                    0.45
4096                    0.99
8192                    1.20
16384                   1.64
32768                   2.35
65536                   3.90
131072                  7.21
262144                 14.74
524288                 29.81
1048576                58.15
2097152               122.75
4194304               379.90
