# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.19
128                     0.20
256                     0.23
512                     0.31
1024                    0.37
2048                    0.44
4096                    0.98
8192                    1.15
16384                   1.57
32768                   2.23
65536                   3.52
131072                  6.74
262144                 13.97
524288                 28.77
1048576                57.53
2097152               120.93
4194304               362.04
