# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.20
32                      0.20
64                      0.18
128                     0.20
256                     0.23
512                     0.32
1024                    0.40
2048                    0.49
4096                    1.08
8192                    1.27
16384                   1.79
32768                   2.55
65536                   3.99
131072                  7.84
262144                 15.60
524288                 30.35
1048576                59.13
2097152               158.55
4194304               424.19
