# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.16
2                       0.19
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.32
1024                    0.39
2048                    0.45
4096                    1.02
8192                    1.18
16384                   1.57
32768                   2.26
65536                   3.65
131072                  7.07
262144                 14.87
524288                 30.42
1048576                58.17
2097152               119.28
4194304               357.22
