# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.18
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.33
1024                    0.38
2048                    0.45
4096                    0.95
8192                    1.34
16384                   2.06
32768                   3.02
65536                   5.04
131072                  9.34
262144                 18.14
524288                 36.54
1048576                71.10
2097152               132.36
4194304               379.91
