# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.20
64                      0.19
128                     0.21
256                     0.24
512                     0.33
1024                    0.39
2048                    0.47
4096                    1.07
8192                    1.26
16384                   1.70
32768                   2.39
65536                   4.07
131072                  7.57
262144                 15.42
524288                 30.49
1048576                59.18
2097152               124.43
4194304               370.53
