# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.18
4                       0.18
8                       0.18
16                      0.19
32                      0.20
64                      0.19
128                     0.21
256                     0.23
512                     0.32
1024                    0.38
2048                    0.46
4096                    1.12
8192                    1.64
16384                   2.48
32768                   3.53
65536                   5.84
131072                 10.71
262144                 19.59
524288                 37.90
1048576                73.68
2097152               151.60
4194304               390.21
