# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.21
256                     0.22
512                     0.29
1024                    0.35
2048                    0.44
4096                    0.98
8192                    1.21
16384                   1.66
32768                   2.29
65536                   3.85
131072                  7.26
262144                 14.88
524288                 29.71
1048576                58.03
2097152               142.27
4194304               402.29
