# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.16
4                       0.16
8                       0.16
16                      0.18
32                      0.19
64                      0.19
128                     0.20
256                     0.22
512                     0.31
1024                    0.37
2048                    0.45
4096                    0.96
8192                    1.12
16384                   1.60
32768                   2.20
65536                   3.54
131072                  6.89
262144                 14.32
524288                 29.53
1048576                57.76
2097152               118.90
4194304               384.97
