# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.18
8                       0.18
16                      0.20
32                      0.19
64                      0.19
128                     0.20
256                     0.22
512                     0.31
1024                    0.37
2048                    0.44
4096                    0.99
8192                    1.16
16384                   1.58
32768                   2.30
65536                   3.61
131072                  6.84
262144                 13.85
524288                 27.73
1048576                56.23
2097152               119.78
4194304               367.62
