# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.21
32                      0.21
64                      0.19
128                     0.20
256                     0.23
512                     0.30
1024                    0.36
2048                    0.44
4096                    0.99
8192                    1.17
16384                   1.59
32768                   2.27
65536                   3.73
131072                  7.27
262144                 15.06
524288                 29.82
1048576                55.16
2097152               120.18
4194304               384.09
