# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.18
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.19
256                     0.22
512                     0.31
1024                    0.37
2048                    0.44
4096                    1.00
8192                    1.18
16384                   1.62
32768                   2.20
65536                   3.58
131072                  6.81
262144                 13.69
524288                 27.18
1048576                52.99
2097152               106.90
4194304               299.09
