# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.20
2                       0.21
4                       0.21
8                       0.21
16                      0.24
32                      0.23
64                      0.22
128                     0.24
256                     0.28
512                     0.38
1024                    0.42
2048                    0.48
4096                    1.10
8192                    1.26
16384                   1.84
32768                   2.49
65536                   4.00
131072                  7.69
262144                 15.83
524288                 31.32
1048576                61.34
2097152               127.33
4194304               391.17
