# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.18
4                       0.17
8                       0.17
16                      0.20
32                      0.20
64                      0.19
128                     0.20
256                     0.23
512                     0.29
1024                    0.35
2048                    0.45
4096                    1.07
8192                    1.26
16384                   1.71
32768                   2.48
65536                   4.02
131072                  7.30
262144                 14.52
524288                 29.16
1048576                59.55
2097152               128.24
4194304               374.78
