# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.18
4                       0.17
8                       0.16
16                      0.19
32                      0.18
64                      0.17
128                     0.19
256                     0.21
512                     0.31
1024                    0.35
2048                    0.45
4096                    0.98
8192                    1.13
16384                   1.57
32768                   2.17
65536                   3.50
131072                  6.95
262144                 13.91
524288                 27.66
1048576                53.56
2097152               107.39
4194304               313.99
