# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.18
4                       0.19
8                       0.18
16                      0.21
32                      0.21
64                      0.20
128                     0.22
256                     0.25
512                     0.36
1024                    0.44
2048                    0.52
4096                    1.09
8192                    1.26
16384                   1.62
32768                   2.38
65536                   3.99
131072                  7.55
262144                 15.77
524288                 31.21
1048576                67.86
2097152               146.26
4194304               432.15
