# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.18
2                       0.18
4                       0.18
8                       0.17
16                      0.19
32                      0.19
64                      0.19
128                     0.20
256                     0.22
512                     0.32
1024                    0.37
2048                    0.45
4096                    1.04
8192                    1.23
16384                   1.71
32768                   2.36
65536                   3.79
131072                  7.52
262144                 14.90
524288                 30.22
1048576                57.39
2097152               123.23
4194304               380.98
